nct_number,study_title,phase,enrollment,funder_type,sponsor,start_date,completion_date,duration_months,start_year,allocation,masking,primary_purpose,intervention_model,is_multinational,country_count,scope
NCT00612599,Comparison of Pharmacodynamics and Pharmacokinetics of Biphasic Insulin Aspart 50 to Biphasic Insulin Aspart 70 in Type 2 Diabetes,Phase 3,75,INDUSTRY,Novo Nordisk A/S,2003-09-01,2004-06-01,9.0,2003.0,RANDOMIZED,"DOUBLE (PARTICIPANT, INVESTIGATOR)",TREATMENT,CROSSOVER,0,1,Single Country
NCT01257451,Safety and Efficacy of Galvus in Elderly Type 2 Diabetes Patients,Phase 3,431,INDUSTRY,Novartis Pharmaceuticals,2010-12-01,2012-03-01,15.0,2010.0,RANDOMIZED,"QUADRUPLE (PARTICIPANT, CARE_PROVIDER, INVESTIGATOR, OUTCOMES_ASSESSOR)",TREATMENT,PARALLEL,1,7,Multinational
NCT05731544,Study of BMF-219 in Healthy Adult Subjects and in Adult Subjects With Type 2 Diabetes Mellitus (T2D),Phase 1/2,443,INDUSTRY,Biomea Fusion Inc.,,,,,RANDOMIZED,"DOUBLE (PARTICIPANT, INVESTIGATOR)",TREATMENT,PARALLEL,1,2,Multinational
NCT01392560,Safety and Efficacy of Empagliflozin (BI 10773) in Type 1 Diabetes Mellitus Patients With or Without Renal Hyperfiltration,Phase 2,52,INDUSTRY,Boehringer Ingelheim,2011-06-01,2012-08-01,14.0,2011.0,,NONE,TREATMENT,SINGLE_GROUP,0,1,Single Country
NCT02692716,A Trial Investigating the Cardiovascular Safety of Oral Semaglutide in Subjects With Type 2 Diabetes,Phase 3,3183,INDUSTRY,Novo Nordisk A/S,,,,,RANDOMIZED,"DOUBLE (PARTICIPANT, INVESTIGATOR)",TREATMENT,PARALLEL,1,21,Multinational
NCT00315718,Long-Term Effects of Sucontral(TM) on Mild and Moderate Cases of Diabetes Mellitus (Type 2),Phase 3,10,INDUSTRY,Harras Pharma Curarina GmbH,2002-06-01,2005-06-01,36.0,2002.0,NON_RANDOMIZED,NONE,TREATMENT,SINGLE_GROUP,0,1,Single Country
NCT03136484,Efficacy and Safety of Semaglutide Versus Canagliflozin as add-on to Metformin in Subjects With Type 2 Diabetes,Phase 3,788,INDUSTRY,Novo Nordisk A/S,,,,,RANDOMIZED,"DOUBLE (PARTICIPANT, INVESTIGATOR)",TREATMENT,PARALLEL,1,12,Multinational
NCT01699737,Safety and Efficacy Study of JTT-851 in Patients With Type 2 Diabetes Mellitus,Phase 2,325,INDUSTRY,Akros Pharma Inc.,2012-09-01,2013-07-01,10.0,2012.0,RANDOMIZED,"QUADRUPLE (PARTICIPANT, CARE_PROVIDER, INVESTIGATOR, OUTCOMES_ASSESSOR)",TREATMENT,PARALLEL,0,1,Single Country
NCT02415556,Memory Aid by Intranasal Insulin in Diabetes (MemAID),Phase 2,289,OTHER,Beth Israel Deaconess Medical Center,,,,,RANDOMIZED,"QUADRUPLE (PARTICIPANT, CARE_PROVIDER, INVESTIGATOR, OUTCOMES_ASSESSOR)",TREATMENT,PARALLEL,0,1,Single Country
NCT01572740,Efficacy and Safety of Liraglutide in Combination With Insulin Therapy Compared to Insulin Alone in Japanese Subjects With Type 2 Diabetes,Phase 3,257,INDUSTRY,Novo Nordisk A/S,,,,,RANDOMIZED,"DOUBLE (PARTICIPANT, INVESTIGATOR)",TREATMENT,PARALLEL,0,1,Single Country
